20250711144051,789  onRtnDealDetail  accountID:8000138,  accountType:1,  exchangID:GFEX,  productID:ps,  instrumentID:ps2509,  tradeID:    61418650,  orderSysID:    74197670,  averagePrice:40700,  volume:1,  tradeDate:20250711,  tradeTime:144036,  comssion:12.33,  amount:122100,  ,  orderID:2147483647,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderPriceType:50,  entrustType:48,  coveredFlag:48,  remark:,  instrumnetName:多晶硅2509,  accountKey:1____20001____0268_1711____-1____8000138____
20250711144053,049  onRtnOrderDetail  accountID:8000138,  accountType:1,  exchangID:GFEX,  productID:ps,  instrumentID:ps2509,  limitPrice:40705,  orderSysID:    74183131,  trtradedVolume:1,  totalVolume:1,  frozeMargin:0,  frozenCommission:0,  averagePrice:0,  tradeAmount:0,  errorID:0,  errorMsg:全部成交,  inserDate:20250711,  insertTime:144007,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:51,  orderStatus:56,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:多晶硅2509,  accountKey:1____20001____0268_1711____-1____8000138____
20250711144053,049  onRtnDealDetail  accountID:8000138,  accountType:1,  exchangID:GFEX,  productID:ps,  instrumentID:ps2509,  tradeID:    61418717,  orderSysID:    74183131,  averagePrice:40705,  volume:1,  tradeDate:20250711,  tradeTime:144037,  comssion:12.33,  amount:122115,  ,  orderID:2147483647,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderPriceType:50,  entrustType:48,  coveredFlag:48,  remark:,  instrumnetName:多晶硅2509,  accountKey:1____20001____0268_1711____-1____8000138____
20250711144110,822  onRtnOrderDetail  accountID:8000138,  accountType:1,  exchangID:GFEX,  productID:ps,  instrumentID:ps2509,  limitPrice:40750,  orderSysID:,  trtradedVolume:0,  totalVolume:1,  frozeMargin:11002.5,  frozenCommission:12.35,  averagePrice:1.79769e+308,  tradeAmount:0,  errorID:0,  errorMsg:报单已提交,  inserDate:20250711,  insertTime:144054,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:48,  orderStatus:48,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:多晶硅2509,  accountKey:1____20001____0268_1711____-1____8000138____
20250711144110,857  onRtnOrderDetail  accountID:8000138,  accountType:1,  exchangID:GFEX,  productID:ps,  instrumentID:ps2509,  limitPrice:40750,  orderSysID:    74210984,  trtradedVolume:0,  totalVolume:1,  frozeMargin:11002.5,  frozenCommission:12.35,  averagePrice:0,  tradeAmount:0,  errorID:0,  errorMsg:未成交,  inserDate:20250711,  insertTime:144055,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:51,  orderStatus:50,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:多晶硅2509,  accountKey:1____20001____0268_1711____-1____8000138____
20250711144227,892  onRtnOrderDetail  accountID:8000138,  accountType:1,  exchangID:GFEX,  productID:ps,  instrumentID:ps2509,  limitPrice:40685,  orderSysID:,  trtradedVolume:0,  totalVolume:1,  frozeMargin:10984.9,  frozenCommission:12.33,  averagePrice:1.79769e+308,  tradeAmount:0,  errorID:0,  errorMsg:报单已提交,  inserDate:20250711,  insertTime:144211,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:48,  orderStatus:48,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:多晶硅2509,  accountKey:1____20001____0268_1711____-1____8000138____
20250711144227,991  onRtnOrderDetail  accountID:8000138,  accountType:1,  exchangID:GFEX,  productID:ps,  instrumentID:ps2509,  limitPrice:40685,  orderSysID:    74289493,  trtradedVolume:0,  totalVolume:1,  frozeMargin:10984.9,  frozenCommission:12.33,  averagePrice:0,  tradeAmount:0,  errorID:0,  errorMsg:未成交,  inserDate:20250711,  insertTime:144212,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:51,  orderStatus:50,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:多晶硅2509,  accountKey:1____20001____0268_1711____-1____8000138____
20250711144227,992  onRtnOrderDetail  accountID:8000138,  accountType:1,  exchangID:GFEX,  productID:ps,  instrumentID:ps2509,  limitPrice:40685,  orderSysID:    74289493,  trtradedVolume:1,  totalVolume:1,  frozeMargin:0,  frozenCommission:0,  averagePrice:0,  tradeAmount:0,  errorID:0,  errorMsg:全部成交,  inserDate:20250711,  insertTime:144212,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:51,  orderStatus:56,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:多晶硅2509,  accountKey:1____20001____0268_1711____-1____8000138____
20250711144227,992  onRtnDealDetail  accountID:8000138,  accountType:1,  exchangID:GFEX,  productID:ps,  instrumentID:ps2509,  tradeID:    61427273,  orderSysID:    74289493,  averagePrice:40690,  volume:1,  tradeDate:20250711,  tradeTime:144212,  comssion:12.33,  amount:122070,  ,  orderID:2147483647,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderPriceType:50,  entrustType:48,  coveredFlag:48,  remark:,  instrumnetName:多晶硅2509,  accountKey:1____20001____0268_1711____-1____8000138____
20250711144244,847  onRtnOrderDetail  accountID:8000138,  accountType:1,  exchangID:GFEX,  productID:ps,  instrumentID:ps2509,  limitPrice:40725,  orderSysID:,  trtradedVolume:0,  totalVolume:1,  frozeMargin:10995.8,  frozenCommission:12.34,  averagePrice:1.79769e+308,  tradeAmount:0,  errorID:0,  errorMsg:报单已提交,  inserDate:20250711,  insertTime:144228,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:48,  orderStatus:48,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:多晶硅2509,  accountKey:1____20001____0268_1711____-1____8000138____
