000509.SZ,000509.SZ,20140519,0,
000509.SZ,000509.SZ,20200401,2,
000509.SZ,000509.SZ,20220701,0,
000510.SZ,000510.SZ,20150413,2,
000510.SZ,000510.SZ,20160429,0,
000511.SZ,000511.SZ,19980428,1,
000511.SZ,000511.SZ,19990428,0,
000511.SZ,000511.SZ,20160504,2,
000511.SZ,000511.SZ,20180605,0,
000514.SZ,000514.SZ,20020418,1,
000514.SZ,000514.SZ,20030305,0,
000515.SZ,000515.SZ,19980430,1,
000515.SZ,000515.SZ,19990709,3,
000515.SZ,000515.SZ,20011120,0,
000516.SZ,000516.SZ,20220117,1,
000516.SZ,000516.SZ,20220418,0,
000517.SZ,000517.SZ,20060105,2,
000517.SZ,000517.SZ,20090911,1,
000517.SZ,000517.SZ,20100414,0,
000518.SZ,000518.SZ,19980504,1,
000518.SZ,000518.SZ,19990709,3,
000518.SZ,000518.SZ,20000410,1,
000518.SZ,000518.SZ,20010111,0,
000518.SZ,000518.SZ,20090429,2,
000518.SZ,000518.SZ,20100624,0,
000518.SZ,000518.SZ,20250430,2,
000520.SZ,000520.SZ,20130425,2,
000520.SZ,000520.SZ,20150818,0,
000522.SZ,000522.SZ,19990427,1,
000522.SZ,000522.SZ,20020423,0,
000523.SZ,000523.SZ,20210506,2,
000523.SZ,000523.SZ,20220526,0,
000525.SZ,000525.SZ,20210506,1,
000525.SZ,000525.SZ,20240919,2,
000525.SZ,000525.SZ,20241218,1,
000525.SZ,000525.SZ,20250613,0,
000526.SZ,000526.SZ,19990419,1,
000526.SZ,000526.SZ,20000321,0,
000526.SZ,000526.SZ,20170411,2,
000526.SZ,000526.SZ,20180523,0,
000529.SZ,000529.SZ,20030422,1,
000529.SZ,000529.SZ,20030512,2,
000529.SZ,000529.SZ,20040325,1,
000529.SZ,000529.SZ,20050525,2,
000529.SZ,000529.SZ,20090911,0,
000533.SZ,000533.SZ,20020423,1,
000533.SZ,000533.SZ,20030512,2,
000533.SZ,000533.SZ,20040326,0,
000535.SZ,000535.SZ,20010307,1,
000535.SZ,000535.SZ,20040430,2,
000536.SZ,000536.SZ,19990429,1,
000536.SZ,000536.SZ,20010509,3,
000536.SZ,000536.SZ,20020628,1,
000536.SZ,000536.SZ,20040423,2,
000536.SZ,000536.SZ,20050429,1,
000536.SZ,000536.SZ,20090408,0,
000536.SZ,000536.SZ,20200429,2,
000536.SZ,000536.SZ,20210511,0,
000537.SZ,000537.SZ,20040510,2,
000537.SZ,000537.SZ,20050519,0,
000540.SZ,000540.SZ,20060425,2,
000540.SZ,000540.SZ,20070608,0,
000540.SZ,000540.SZ,20230505,2,
000544.SZ,000544.SZ,20020508,1,
000544.SZ,000544.SZ,20030512,2,
000544.SZ,000544.SZ,20040405,0,
000545.SZ,000545.SZ,20070416,2,
000545.SZ,000545.SZ,20080411,0,
000545.SZ,000545.SZ,20110428,2,
000545.SZ,000545.SZ,20130726,0,
000546.SZ,000546.SZ,20000421,1,
000546.SZ,000546.SZ,20010509,3,
000546.SZ,000546.SZ,20020808,1,
000546.SZ,000546.SZ,20060522,0,
000546.SZ,000546.SZ,20230616,1,
000546.SZ,000546.SZ,20231019,0,
000548.SZ,000548.SZ,19980429,1,
000548.SZ,000548.SZ,19990531,0,
000550.SZ,000550.SZ,20000605,1,
000550.SZ,000550.SZ,20010412,0,
000552.SZ,000552.SZ,20040430,2,
000552.SZ,000552.SZ,20060626,0,
000555.SZ,000555.SZ,19990429,1,
000555.SZ,000555.SZ,20010327,0,
000555.SZ,000555.SZ,20030417,1,
000555.SZ,000555.SZ,20040430,2,
000555.SZ,000555.SZ,20050608,1,
000555.SZ,000555.SZ,20070404,2,
000555.SZ,000555.SZ,20080721,1,
000555.SZ,000555.SZ,20130502,2,
000555.SZ,000555.SZ,20140319,0,
000556.SZ,000556.SZ,19990504,1,
000556.SZ,000556.SZ,20010509,3,
000557.SZ,000557.SZ,20020508,1,
000557.SZ,000557.SZ,20050323,2,
000557.SZ,000557.SZ,20060509,1,
000557.SZ,000557.SZ,20100930,2,
000557.SZ,000557.SZ,20160506,0,
000558.SZ,000558.SZ,19980429,1,
000558.SZ,000558.SZ,19990526,0,
000560.SZ,000560.SZ,20020418,1,
000560.SZ,000560.SZ,20031106,2,
000560.SZ,000560.SZ,20040406,1,
000560.SZ,000560.SZ,20070608,0,
000561.SZ,000561.SZ,20030417,1,
000561.SZ,000561.SZ,20030512,2,
000561.SZ,000561.SZ,20070124,1,
000561.SZ,000561.SZ,20071126,2,
000561.SZ,000561.SZ,20101208,0,
000564.SZ,000564.SZ,20210219,2,
000564.SZ,000564.SZ,20220623,1,
000564.SZ,000564.SZ,20240531,0,
000566.SZ,000566.SZ,19990429,1,
000566.SZ,000566.SZ,20000509,0,
000566.SZ,000566.SZ,20020419,1,
000566.SZ,000566.SZ,20050321,0,
000567.SZ,000567.SZ,20020418,1,
000567.SZ,000567.SZ,20050307,0,
000569.SZ,000569.SZ,19980608,1,
000569.SZ,000569.SZ,19990609,0,
000569.SZ,000569.SZ,20070417,2,
000569.SZ,000569.SZ,20080716,0,
000570.SZ,000570.SZ,20030411,1,
