,time,open,high,low,close,volume,amount,settelementPrice,openInterest,preClose,suspendFlag
20250604141000,1749017400000,93.0,93.0,92.5,93.0,52,24830.0,0.0,5510,92.0,0
20250604141100,1749017460000,92.0,92.0,90.0,90.0,20,9550.0,0.0,5510,93.0,0
20250604141200,1749017520000,93.0,93.0,93.0,93.0,10,-5947.0,0.0,5500,90.0,0
20250604141300,1749017580000,93.5,93.5,93.0,93.0,12,5700.0,0.0,5508,93.0,0
20250604141400,1749017640000,94.5,94.5,94.5,94.5,1,475.0,0.0,5507,93.0,0
20250604141500,1749017700000,93.5,93.5,93.5,93.5,1,475.0,0.0,5507,94.5,0
20250604141600,1749017760000,93.5,93.5,90.0,90.0,23,10925.0,0.0,5511,93.5,0
20250604141700,1749017820000,90.0,91.5,90.0,91.5,42,19950.0,0.0,5536,90.0,0
20250604141800,1749017880000,90.5,90.5,87.5,87.5,16,7600.0,0.0,5540,91.5,0
20250604141900,1749017940000,88.5,89.0,88.5,89.0,26,12350.0,0.0,5517,87.5,0
20250604142000,1749018000000,90.5,90.5,90.5,90.5,10,4750.0,0.0,5523,89.0,0
20250604142100,1749018060000,91.5,91.5,90.0,90.0,22,10450.0,0.0,5521,90.5,0
20250604142200,1749018120000,90.0,90.5,90.0,90.5,12,5700.0,0.0,5521,90.0,0
20250604142300,1749018180000,90.5,90.5,90.5,90.5,1,475.0,0.0,5521,90.5,0
20250604142400,1749018240000,91.0,91.0,91.0,91.0,10,4750.0,0.0,5521,90.5,0
20250604142500,1749018300000,91.5,91.5,91.5,91.5,1,475.0,0.0,5521,91.0,0
20250604142600,1749018360000,95.0,95.0,95.0,95.0,18,8550.0,0.0,5524,91.5,0
20250604142700,1749018420000,95.5,96.0,95.0,95.0,143,67925.0,0.0,5639,95.0,0
20250604142800,1749018480000,95.0,95.0,94.5,94.5,4,1900.0,0.0,5641,95.0,0
20250604142900,1749018540000,95.0,95.0,95.0,95.0,14,6650.0,0.0,5641,94.5,0
20250604143000,1749018600000,93.5,93.5,93.5,93.5,2,950.0,0.0,5639,95.0,0
20250604143100,1749018660000,93.5,93.5,93.5,93.5,0,0.0,0.0,5639,93.5,0
20250604143200,1749018720000,93.5,93.5,93.5,93.5,0,0.0,0.0,5639,93.5,0
20250604143300,1749018780000,92.5,92.5,92.5,92.5,1,475.0,0.0,5640,93.5,0
20250604143400,1749018840000,92.5,92.5,92.5,92.5,0,0.0,0.0,5640,92.5,0
20250604143500,1749018900000,92.5,92.5,92.5,92.5,0,0.0,0.0,5640,92.5,0
20250604143600,1749018960000,92.0,92.0,92.0,92.0,14,6650.0,0.0,5626,92.5,0
20250604143700,1749019020000,91.0,91.0,90.0,90.0,15,7125.0,0.0,5625,92.0,0
20250604143800,1749019080000,90.0,90.0,90.0,90.0,4,1900.0,0.0,5627,90.0,0
20250604143900,1749019140000,90.0,90.0,90.0,90.0,0,0.0,0.0,5627,90.0,0
20250604144000,1749019200000,91.0,91.5,91.0,91.5,12,5700.0,0.0,5616,90.0,0
20250604144100,1749019260000,92.5,92.5,92.5,92.5,1,475.0,0.0,5615,91.5,0
